"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0.05,"AE_Rico-Gray_zapo_bin","A",0.809831593070181,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AE_Rico-Gray_zapo_bin","B",0.812226470350432,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcDIM100_bin","A",0.876420249735175,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcDIM100_bin","B",0.881941034948111,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcFLO_bin","A",0.862680241791689,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcFLO_bin","B",0.859279464526551,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcPA10_bin","A",0.896770660210441,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcPA10_bin","B",0.900832236399544,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcPAcamp_bin","A",0.869475632850869,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"AM_Izzo_mtcPAcamp_bin","B",0.867766140459043,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"CC_Sazima_bin","A",0.812200649218436,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"CC_Sazima_bin","B",0.812287251907983,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"CC_Wicksten_1998_bin","A",0.805394352052272,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"CC_Wicksten_1998_bin","B",0.82159547082051,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Bahowo_bin","A",0.848605921566889,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Bahowo_bin","B",0.853513776835345,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Bualo_bin","A",0.84863717779113,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Bualo_bin","B",0.851657676318538,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_JalanMasuk_bin","A",0.850161981200723,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_JalanMasuk_bin","B",0.84873906650116,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
